 ;FR;PA80;swo;gyeli;bekwel;bekol;konzime;makaa;mpiemo;kwasio;njem;shiwa;BC (BLR3);Reconstr. Régionales (BLR 3);Reconstr. Mougiama, Hombert;;Mots que je pourrai ajouter;;
1. ;abandonner 1 ;°cìnà ;;;ɛ̀-cìn ; ;è-cìnè ; ; ; ;lè-cììnò ; ; ; ; ;;noyau;bâ̰ / mibâ̰;
2. ;abandonner 2 ;°káTà ;;;ɛ̀-kát ; ;è-kâr ; ;à-kārɔ̀ ; ; ; ; ; ; ;;oignon;ányɔ̀nè / banányɔ̀nè;
4. ;abattre ;°kwàlÀ ;kyə̀lə̀;kwɛ̀lɔ;ɛ̀-kɥàl ;càl ;è-cwɛ̀l; ;à-cɔ̀lɔ̀;cɥɛlɛ ;lè-cwɛ̀l; ; ; ; ;gyeli : recip = kwɛ̀lala, ici la racine revient;grenouille;náwɛ̀ / máwɛ̀;
5. ;abcès ;°dɔ̀lV̀ ;dwàlə̀ / màdwàlə̀;;d-ɔ̀l / mɔ̀l ;d-wàl / mwàl ; ; ; ;d-walɛ / mwalɛ ; ; ; ; ; ;;chance;máá;
6. ;abeille ;°(a)ɲÓK ;;nyú (wá nkwànò) / banyú (bá nkwànò);ná-ɲúɡù / bɛ̀náɲúɡù ;ǎ-ɲɔ̂ / bǎɲɔ̂ ;á-ɲʊ̂kwàn / bàáɲʊ̂kwàn ; ; ;ɲu / bɔɲu ;à-ɲʊ̂kwɔ̀n;ɲâ-wò / bə̀ɲâwò; ; ; ;;mot;bǎ̰ / bebǎ̰;
7. ;accepter ;°mɛ̀Kàlà ;màʔàlə̀;mɛ́ɛ̀lɛ; ;màɡə̀lɔ̀ ;è-mɛ̀ʔlè ;mà-ɡə̀lə̀; ; ;lè-mjɛ̀ʔlò; ; ; ; ;;beau(té);bebɛ̰́ɛ̰̀;
8. ;accompagner ;°líKàlà ;zə́ɡə̀lə̀;líyɛlɛ;ɛ̀-ljâl ;lîɡə̀lɔ̀ ; ;lə́ɡàl ; ; ;lè-ljóʔlô ; ; ; ; ;;genou;lebɔ̰́ / mabɔ̰́;
9. ;accoucher ;°bíà ;byâ;bwà;ɛ̀-bjâ ;bjâ ;è-bjâ ;bjâ ;à-ɓjâ ;bia ;lè-bwâ ;bjà ;*bíad ; ; ;;trébucher;kɔ̀lɛ (mábɔ́ɔ̀);
10. ;accrocher 1 ;°kàlì ;kə̀lè;;ɛ̀-cèl ; ;è-cjèl ;kə̀l;à-kàlì ;cɛl ;lè-kjèl ;mə́-kə̀lì ; ; ; ;;vue;lebàà / mabàà;
11. ;accrocher 2 ;°kɛ̀mb ;;; ; ;è-pɛ̀n ;fɛ̀n; ; ;lè-pɛ̀n; ; ; ; ;;répéter;báàla nà;
12. ;accuser ;°làK ;láʔ;;ɛ̀-tìlà ;lâɡ ;è-làʔ ; ; ; ; ; ; ; ; ;;garder, protéger;báàlɛ;
13. ;acheter ;°bɔ́mà ;;;ɛ̀-bɔ́m; ;è-bwâm ; ;à-ɓɔ̄mɔ̀; ;lè-bwɔ̂m; ; ; ; ;;gronder;bámɔ;
14. ;acide 1 ;°bjànɟà ;mə̀-bìàŋɡì;;ɛ̀-bjàz / mɛ̀bjâz ; ;è-bjàh ;bjɛ̀nʒ;ɓjànɟáà ; ;lè-bwàh ; ; ; ; ;;giffle;lèbándyì / mabándyì ;
15. ;acide 2 ;°kàKV̀ ;;; ; ;è-kàʔ ;kààɡ ;à-kàɡɔ̀ ; ;kǎʔlà ; ; ; ; ;;omoplate;básí / bebásí;
16. ;affaires ;°lǑP ;;; ;lòb / mèlòb ;lɔ̌b / mìlɔ̌b ; ; ; ;lɔ̌b; ;*jàmbò (ABGHL); ; ;;fermenter;bédo;
17. ;aider ;°KólÌ ;zə́lè;kòlɛ / vɔ́lɛ; ;kwìr ;è-ɡûl ; ; ;kwɛl ;lè-ɡwîl ;kɥélì   ; ; ; ;;utiliser;bɛ̀lanɛ;
18. ;aigle ;°(N-)bèlà ;mbə̀lə̀ (ìnwònə́);mpèlɛ̀ / bampèlɛ̀;b̥jèl / bɛ̀b̥jèl ;mpàl / bòmpàl ;mpèlè / òmpèlè ;mpàl / òmpàl ;mpèlɔ̀ ;mbʰilɛ (nuɛn) / bɔmbʰilɛnuɛn ;mpjèl ; ; ; ; ;;malheur;bíwɔ̀;
19. ;aiguille ;°dòK ;ǹ-dùndwɔ̀ʔ;ntɔ̀ndɔ̀gɛ̀ / bentɔ̀ndɔ̀gɛ̀; ;ndùndù ;ndòndò / òndòndò ; ; ;ndindɔk / mandindɔk ; ; ; ; ; ;;frapper;bíyɔ;
20. ;aiguiser ;°ɟèbà ;ɡvwúò;vúlɔ;ɛ̀-ɟòò ;ɟàb ;è-ɟèbè ;ɟòw ; ;ɟɔɔ ;lè-ɟjèb ; ; ; ; ;gyeli : 'être aiguisé';froisser;"bɔ́mɛlɛ ; tfúmbɔ";
21. ;aile ;°(N-)bàpá ;pə̀báʔà / màpə̀báʔà;le-pɛ́bá / mapɛ́bá;ɛ̀-bǎp / mɛ̀bḁ̌p ;lè-mpjàb / mòmpjàb ;è-mpàbàá / mèmpàbàá ; ;à-mpàbɔ̄ ;paba / mapaba ;lè-mpàbá ;pàbá / mə̀pàbá;*pàpá ; ; ;;singe colobus;bɔ̀ndì / bebɔ̀ndì ~ pfṵ̂ / bepfṵ̂;
22. ;aimer ;°kwàlÌ ;kyàlə̀;kwàlɛ;ɛ̀-kɥɛ̀l ;cɛ̀là ;è-kpɛ̀l ;cɛ̀l;à-kwàlì ;kɥal ;lè-kwɛ̀l;kɥálì ; ; ; ;;détruire;bû, ntámanɛ;
23. ;aîné ;°tÚmbá ;ǹ-tómbà / mìntómbà;n-túmbà / batúmbà; ;twámbâ / bòtwámbâ ; ;cúmbâ / òcúmbâ ; ;ntumba / bɔntumba ; ; ; ; ; ;;aboyer;búmɛ;
24. ;aisselle ;°ɲánɡbV́lV̀ ;;nyámbá / manyámbá;ɛ̀-ɲɛ́ɡɛ́bûl / mɛ̀ɲɛ́ɡɛ́m ɛ́bûl ;ɲɔ̂mbə̀lɔ̀ / mòɲɔ̂mbə̀lɔ̀ ;è-ɲɔ́mlʊ̀ / mèɲɔ́m lʊ̀ ; ; ;ɲamba / maɲamba ; ;bì-ɲámbílì / bìɲámbílì  ; ; ; ;;enfoncer (clou);bùmɛlɛ;
25. ;ajouter ;°kòK(à)là ;kùɾà;kòla; ;kɛ̀ɛ̀là ;è-kò ; ; ;kwala ;lè-kòʔlà ; ; ; ; ;;personne muette;búɔ̀ / babúɔ̀;
26. ;alcool ;°ɲÒKÌ ;mà-ɲwɔ̀ʔ;ma-nyɔ́ɔ̀;mɛ̀-ɲùk ;mò-ɲwòɡ ;mè-ɲòʔ ; ;mɛ̀-ɲɔ̀ɡì;maɲuiəˤ (malendi);mè-ɲòʔ ; ; ; ; ;;croire;bvúala;
27. ;aller 1 ;°tɔ́à ;té;túà;ɛ̀-tɔ̂ ; ;è-tô ; ;à-tɔ̄ɔ̀ ; ;lè-tô ; ; ; ; ;gyeli : move places/houses;Bulu;mbvúlɛ̀ / ?;
28. ;aller 2 ;°kɛ̀n(Ì) ;kə̀ ;kɛ̀; ;kèn ; ; ; ;kɛ ; ;kə̀ ;*ɡènd ; ; ;gyeli : 'go, walk';ballon;bvùmá / bebvùmá;doublon avec 'fruit', pareil en swo
29. ;allumer 1 ;°tùmbÀ ;;; ; ;è-tùmò ; ;à-tùmbì ; ;lè-tùmò ; ; ; ; ;;surprendre;bvùmba;
30. ;allumer 2 ;°tìTà ;;; ;tíràɡ ;è-tìrà ; ; ; ;lè-tìrà ; ; ; ; ;;pensées;mabwá̰sà;
31. ;amer ;°ɟÙlÌ ;ɡùlì;dùlɛ̀;ɛ̀-ɡɥè / mɛ̀ɡɥè ; ;è-ɟwìè ;ɡùùl ;à-ɡwòè ; ;lè-ɟwìò ;mə̀-ɡúlì ; ;*dʊ̀dì (AB) ; ;;penser, rappeler;bwâ̰sa;
32. ;ami 1 ;°sɔ́(V);ʃwɔ̄ / bə̀ʃwɔ̄;sɔ́ / basɔ́;ɛ̀-sɔ́ɔ́  / bɛ̀sɔ́ɔ́  ;ʃwó ;só / òsó ;ʃwə́ / òʃwə́;ʃɔ̄ ;swɔ / bɔswɔ ;só ;bìn-ʃú ~ bìntʃú ; ; ; ;;devenir grand, grossir;bwà;
33. ;ami 2 ;°wɛ̀V̀;;; ; ;wɛ̀ɛ̀ / òwɛ̀ɛ̀ ;wèj / òwèj ; ; ;wɛ̀ɛ̀; ; ; ; ;;devenir, avoir, être;bwàà;swo : mú
34. ;amitié ;°sɔ́ ;ʃwɔ̄ / màʃwɔ̄;;ɛ̀-sɔ́ ;lè-ʃwó ;è-só / mèsó ; ; ; ;lè-só ; ; ; ; ;;accouchement/naissance;mabwàlɛ̀;
35. ;amour ;°kwàlÍ ;ì-kyàlé / bìkyàlé;kwàlɛ̀ / bekwàlɛ̀;kɥɛ̀l;cɛ̀l ;kpɛ̌l / bìkpɛ̌l;cɛ̀ɛ̀lî / ìcɛ̀ɛ̀lî;kwàlā ;kɥal ;kwɛ̌l; ; ; ; ;;sage-femme;m-bwálɛ̀sɛ̀ bùdâ̰ / ba-bwálɛ̀sɛ̀ bùdâ̰;
