 ;FR;PA80;swo;gyeli;bekwel;bekol;konzime;makaa;mpiemo;kwasio;njem;shiwa;BC (BLR3);Reconstr. Régionales (BLR 3);Reconstr. Mougiama, Hombert;;;;
1. ;abandonner 1 ;°cìnà ;;;ɛ̀-cìn ; ;è-cìnè ; ; ; ;lè-cììnò ; ; ; ; ;;;;
2. ;abandonner 2 ;°káTà ;;;ɛ̀-kát ; ;è-kâr ; ;à-kārɔ̀ ; ; ; ; ; ; ;;;;
4. ;abattre ;°kw-àl-À ;kyə̀lə̀;kwɛ̀lɔ;ɛ̀-kɥàl ;càl ;è-cwɛ̀l; ;à-cɔ̀lɔ̀;cɥɛlɛ ;lè-cwɛ̀l; ; ; ; ;;;;
5. ;abcès ;°dɔ̀lV̀ ;dwàlə̀ / màdwàlə̀;;d-ɔ̀l / mɔ̀l ;d-wàl / mwàl ; ; ; ;d-walɛ / mwalɛ ; ; ; ; ; ;;;;
6. ;abeille ;°(a)ɲÓK ;;nyú (wá nkwànò) / banyú (bá nkwànò);ná-ɲúɡù / bɛ̀náɲúɡù ;ǎ-ɲɔ̂ / bǎɲɔ̂ ;á-ɲʊ̂kwàn / bàáɲʊ̂kwàn ; ; ;ɲu / bɔɲu ;à-ɲʊ̂kwɔ̀n;ɲâ-wò / bə̀ɲâwò; ; ; ;;;;
7. ;accepter ;°mɛ̀Kàlà ;màʔàlə̀;mɛ́ɛ̀lɛ; ;màɡə̀lɔ̀ ;è-mɛ̀ʔlè ;mà-ɡə̀lə̀; ; ;lè-mjɛ̀ʔlò; ; ; ; ;;;;
8. ;accompagner ;°líKàlà ;zə́ɡə̀lə̀;líyɛlɛ;ɛ̀-ljâl ;lîɡə̀lɔ̀ ; ;lə́ɡàl ; ; ;lè-ljóʔlô ; ; ; ; ;;;;
9. ;accoucher ;°bíà ;byâ;bwà;ɛ̀-bjâ ;bjâ ;è-bjâ ;bjâ ;à-ɓjâ ;bia ;lè-bwâ ;bjà ;*bíad ; ; ;;;;
10. ;accrocher 1 ;°kàlì ;kə̀lè;;ɛ̀-cèl ; ;è-cjèl ;kə̀l;à-kàlì ;cɛl ;lè-kjèl ;mə́-kə̀lì ; ; ; ;;;;
11. ;accrocher 2 ;°kɛ̀mb ;;; ; ;è-pɛ̀n ;fɛ̀n; ; ;lè-pɛ̀n; ; ; ; ;;;;
12. ;accuser ;°làK ;láʔ;;ɛ̀-tìlà ;lâɡ ;è-làʔ ; ; ; ; ; ; ; ; ;;;;
13. ;acheter ;°bɔ́mà ;;;ɛ̀-bɔ́m; ;è-bwâm ; ;à-ɓɔ̄mɔ̀; ;lè-bwɔ̂m; ; ; ; ;;;;
14. ;acide 1 ;°bjànɟà ;mə̀-bìàŋɡì;;ɛ̀-bjàz / mɛ̀bjâz ; ;è-bjàh ;bjɛ̀nʒ;ɓjànɟáà ; ;lè-bwàh ; ; ; ; ;;;;
15. ;acide 2 ;°kàKV̀ ;;; ; ;è-kàʔ ;kààɡ ;à-kàɡɔ̀ ; ;kǎʔlà ; ; ; ; ;;;;
16. ;affaires ;°lǑP ;;; ;lòb / mèlòb ;lɔ̌b / mìlɔ̌b ; ; ; ;lɔ̌b; ;*jàmbò (ABGHL); ; ;;;;
17. ;aider ;°ɡ/kólÌ ;zə́lè;kòlɛ / vɔ́lɛ; ;kwìr ;è-ɡûl ; ; ;kwɛl ;lè-ɡwîl ;kɥélì   ; ; ; ;;;;
18. ;aigle ;°(N-)bèlà ;mbə̀lə̀ (ìnwònə́);mpèlɛ̀ / bampèlɛ̀;b̥jèl / bɛ̀b̥jèl ;mpàl / bòmpàl ;mpèlè / òmpèlè ;mpàl / òmpàl ;mpèlɔ̀ ;mbʰilɛ (nuɛn) / bɔmbʰilɛnuɛn ;mpjèl ; ; ; ; ;;;;
19. ;aiguille ;°dòK ;ǹ-dùndwɔ̀ʔ;ntɔ̀ndɔ̀gɛ̀ / bentɔ̀ndɔ̀gɛ̀; ;ndùndù ;ndòndò / òndòndò ; ; ;ndindɔk / mandindɔk ; ; ; ; ; ;;;;
50. ;arbre ;°lé ;ì-lí / bìlí;lé / belé;lé / ìlé ;lé / mèlé ;lí / bìlɩ́ ;lé / ìlé ;lē ;lí / bilí ;lɩ́ ;lí / bìlí ;*tɩ́ ; ; ;;;;
51. ;arbre moabi ;°ɟɔ̀V̀  ;ì-ɟùɔ̀ / bìɟùɔ̀;;ì-ɟɔ̀w; ;ò-ɟɔ̀ɔ̀;ɟù / mə̀ɟù; ; ;ɩ̀-ɟɔ̀ɔ̀; ; ; ; ;;;;
52. ;arbre sp 1 ;°dùmbà ;;;dúm / ìdúm ;d-úmɔ́ / múmɔ́ ;d-úmó / múmó ; ;dùbɔ̀ ; ; ; ; ; ; ;;;;
53. ;arbre sp 2 ;°sɔ́mbÓ ;;; ; ;ò-sɔ́m ;sómbú / mə̀sómbú; ; ;swɔ́m; ; ; ; ;;;;
54. ;arc ;°ɡàlá ;ŋ̀-ɡálì / màŋɡálì;;n-ɡɛ̀lɛ́ / mìnɡɛ̀lɛ́ ; ;n-ɡàlá / mìnɡàlá ; ; ; ;n-ɡàlá ; ; ; ; ;;;;
55. ;arc-en-ciel ;°(N-)dìmbà ;ǹ-dvúndvùmbə̄ / mìndvúndvùmbə̄;;d̥ìwà / ìd̥ìwà ; ; ;n-ɟùmbú / mìnɟùmbú; ; ;n-tìbà ; ; ; ; ;;;;
