nº;FR;PA80;swo;gyeli;bekwel;bekol;konzime;makaa;mpiemo;kwasio;njem;shiwa;BC (BLR3);Reconstr. Régionales (BLR 3);Reconstr. Mougiama, Hombert;;;;
1;abandonner 1;°c°ì°n°à;;;cìn;;cìnè;;;;cììnò;;;;
2;abandonner 2;°k°á°T°à;;;kát;;kâr;;kārɔ̀;;;;;;
4;abattre;°k°w°à°l°À;kyə̀lə̀;kwɛ̀lɔ;kɥàl;càl;cwɛ̀l;;cɔ̀lɔ̀;cɥɛlɛ;cwɛ̀l;;;;
5;abcès;°d°ɔ̀°l°V̀;dwàlə̀;;ɔ̀l;wàl;;;;walɛ;;;;;
6;abeille;;;nyú;ɲúɡù;ɲɔ̂;ɲʊ̂kwàn;;;ɲu;ɲʊ̂kwɔ̀n;wò;;;
7;accepter;°m°ɛ̀°K°à°l°à;màʔàlə̀;mɛ́ɛ̀lɛ;;màɡə̀lɔ̀;mɛ̀ʔlè;ɡə̀lə̀;;;mjɛ̀ʔlò;;;;
8;accompagner;°l°í°K°à°l°à;zə́ɡə̀lə̀;líyɛlɛ;ljâl;lîɡə̀lɔ̀;;lə́ɡàl;;;ljóʔlô;;;;
9;accoucher;°b°í°à;byâ;bwà;bjâ;bjâ;bjâ;bjâ;ɓjâ;bia;bwâ;bjà;;;
10;accrocher 1;°k°à°l°ì;kə̀lè;;cèl;;cjèl;kə̀l;kàlì;cɛl;kjèl;kə̀lì;;;
11;accrocher 2;°k°ɛ̀°m°b;;;;;pɛ̀n;fɛ̀n;;;pɛ̀n;;;;
12;accuser;°l°à°K;láʔ;;tìlà;lâɡ;làʔ;;;;;;;;
13;acheter;°b°ɔ́°m°à;;;bɔ́m;;bwâm;;ɓɔ̄mɔ̀;;bwɔ̂m;;;;
14;acide 1;°b°j°à°n°ɟ°à;bìàŋɡì;;bjàz;;bjàh;bjɛ̀nʒ;ɓjànɟáà;;bwàh;;;;
15;acide 2;°k°à°K°V̀;;;;;kàʔ;kààɡ;kàɡɔ̀;;kǎʔlà;;;;
16;affaires;°l°Ǒ°P;;;;lòb;lɔ̌b;;;;lɔ̌b;;;;
17;aider;°K°ó°l°Ì;zə́lè;kòlɛ;;kwìr;ɡûl;;;kwɛl;ɡwîl;kɥélì;;;
18;aigle;;mbə̀lə̀;mpèlɛ̀;b̥jèl;mpàl;mpèlè;mpàl;mpèlɔ̀;mbʰilɛ;mpjèl;;;;
19;aiguille;°d°ò°K;dùndwɔ̀ʔ;ntɔ̀ndɔ̀gɛ̀;;ndùndù;ndòndò;;;ndindɔk;;;;;
20;aiguiser;°ɟ°è°b°à;ɡvwúò;vúlɔ;ɟòò;ɟàb;ɟèbè;ɟòw;;ɟɔɔ;ɟjèb;;;;
21;aile;;pə̀báʔà;pɛ́bá;bǎp;mpjàb;mpàbàá;;mpàbɔ̄;paba;mpàbá;pàbá;;;
22;aimer;°k°w°à°l°Ì;kyàlə̀;kwàlɛ;kɥɛ̀l;cɛ̀là;kpɛ̀l;cɛ̀l;kwàlì;kɥal;kwɛ̀l;kɥálì;;;
23;aîné;°t°Ú°m°b°á;tómbà;túmbà;;twámbâ;;cúmbâ;;ntumba;;;;;
24;aisselle;°ɲ°á°n°ɡ°b°V́°l°V̀;;nyámbá;ɲɛ́ɡɛ́bûl;ɲɔ̂mbə̀lɔ̀;ɲɔ́mlʊ̀;;;ɲamba;;ɲámbílì;;;
25;ajouter;°k°ò°K;kùɾà;kòla;;kɛ̀ɛ̀là;kò;;;kwala;kòʔlà;;;;
26;alcool;°ɲ°Ò°K°Ì;ɲwɔ̀ʔ;nyɔ́ɔ̀;ɲùk;ɲwòɡ;ɲòʔ;;ɲɔ̀ɡì;maɲuiəˤ;ɲòʔ;;;;
27;aller 1;°t°ɔ́°à;té;túà;tɔ̂;;tô;;tɔ̄ɔ̀;;tô;;;;
28;aller 2;°k°ɛ̀°n;kə̀;kɛ̀;;kèn;;;;kɛ;;kə̀;;;
29;allumer 1;°t°ù°m°b°À;;;;;tùmò;;tùmbì;;tùmò;;;;
30;allumer 2;°t°ì°T°à;;;;tíràɡ;tìrà;;;;tìrà;;;;
31;amer;°ɟ°Ù°l°Ì;ɡùlì;dùlɛ̀;ɡɥè;;ɟwìè;ɡùùl;ɡwòè;;ɟwìò;ɡúlì;*d*ʊ̀*d*ì;;
32;ami 1;°s°ɔ́;ʃwɔ̄;sɔ́;sɔ́ɔ́;ʃwó;só;ʃwə́;ʃɔ̄;swɔ;só;ʃú;;;
33;ami 2;°w°ɛ̀°V̀;;;;;wɛ̀ɛ̀;wèj;;;wɛ̀ɛ̀;;;;
34;amitié;°s°ɔ́;ʃwɔ̄;;sɔ́;ʃwó;só;;;;só;;;;
